clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
«Медстар» на Набережной реки Ушайки|https://prodoctorov.ru/tomsk/lpu/12944-medstar/|19|Стоматолог-хирург|1
«Медстар» на Набережной реки Ушайки|https://prodoctorov.ru/tomsk/lpu/12944-medstar/|20|-|-
«Медстар» на Набережной реки Ушайки|https://prodoctorov.ru/tomsk/lpu/12944-medstar/|21|-|-
«Медстар» на Набережной реки Ушайки|https://prodoctorov.ru/tomsk/lpu/12944-medstar/|22|-|-
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|0|Стоматолог, стоматолог-хирург|10
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|1|Стоматолог-имплантолог, стоматолог-хирург|15
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|2|Стоматолог|5
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|3|Стоматолог|6
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|4|Стоматолог-ортопед|-
Стоматология «Апекс»|https://prodoctorov.ru/tomsk/lpu/31639-apeks/|5|Стоматолог|3
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|0|Стоматолог-ортопед|4
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|1|Стоматолог|25
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|2|Стоматолог|23
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|3|Косметолог-эстетист|2
